8.3 (D)(3DRel)	Time
0.004485966	67638.2848
0.004582391	67678.2046
0.004633269	67718.6794
0.004662503	67757.9595
0.004691618	67798.6351
0.004686902	67843.3424
0.004652301	67878.6425
0.004698171	67919.9594
0.004697607	67959.5559
0.004723689	68002.3903
0.004728225	68037.7309
0.004711849	68077.9111
0.004701582	68117.9231
0.004729913	68157.7415
0.004739005	68203.5752
0.004739005	68237.6665
0.004822428	68278.0696
0.004822428	68317.6417
0.004934601	68358.9952
0.004934601	68397.7667
0.004980864	68437.8757
0.005023618	68478.3543
0.005006816	68517.7788
0.005016576	68559.3984
0.005014513	68597.9442
0.004941883	68639.1411
0.004882774	68677.8833
0.004773275	68720.4519
0.004700233	68758.3252
0.004521477	68804.6582
0.004279572	68839.0304
0.004117707	68879.6889
0.003986043	68918.3527
0.00395338	68959.2443
0.003845585	69004.8576
0.003708303	69039.1006
0.003588007	69077.2845
0.003608264	69117.7573
0.00354609	69157.6098
0.003468639	69198.7141
0.003459443	69237.4563
0.003459443	69277.463
0.003393502	69317.9055
0.003393502	69357.6147
0.003343723	69397.9164
0.003343723	69437.8752
0.003304482	69477.9935
0.003314212	69517.7929
0.003307616	69559.0576
0.003306462	69598.7151
0.00330811	69647.2677
0.003333493	69679.0799
0.003352401	69721.4686
0.003354535	69757.9287
0.003390208	69798.5732
